departamento,municipio,anio,casos_dengue_acumulados_se1_13,incidencia_por_10000_hab,periodo,fuente,pagina_fuente,nota,estado_calidad,regla_aplicada,motivo_qc,periodo_dato,version_lote
LA PAZ,SAN BUENAVENTURA,2026,22,21.7,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
LA PAZ,CORIPATA,2026,1,0.4,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
LA PAZ,ALTO BENI,2026,1,0.9,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
LA PAZ,TEOPONTE,2026,1,0.7,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
SANTA CRUZ,CAMIRI,2026,1,0.3,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
SANTA CRUZ,LA GUARDIA,2026,3,0.2,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
SANTA CRUZ,MONTERO,2026,2,0.2,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
SANTA CRUZ,SANTA CRUZ DE LA SIERRA,2026,9,0.1,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
SANTA CRUZ,BUENA VISTA,2026,1,0.7,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
SANTA CRUZ,PUERTO QUIJARRO,2026,2,1.1,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
TARIJA,BERMEJO,2026,3,0.8,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
TARIJA,CERCADO TJ,2026,3,0.1,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
TARIJA,YACUIBA,2026,5,0.5,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
TARIJA,VILLA MONTES,2026,1,0.2,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
TARIJA,CARAPARI,2026,1,0.6,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
CHUQUISACA,MACHARETI,2026,1,1.4,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
PANDO,COBIJA,2026,1,0.2,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
