departamento,municipio,anio,casos_dengue_acumulados_se1_13,incidencia_por_10000_hab,periodo,fuente,pagina_fuente,nota
LA PAZ,PALOS BLANCOS,2026,5,1.9,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
LA PAZ,SAN BUENAVENTURA,2026,22,21.7,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
LA PAZ,CORIPATA,2026,1,0.4,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
LA PAZ,ALTO BENI,2026,1,0.9,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
LA PAZ,TEOPONTE,2026,1,0.7,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
SANTA CRUZ,CAMIRI,2026,1,0.3,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
SANTA CRUZ,LA GUARDIA,2026,3,0.2,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
SANTA CRUZ,MONTERO,2026,2,0.2,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
SANTA CRUZ,SANTA CRUZ DE LA SIERRA,2026,9,0.1,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
SANTA CRUZ,BUENA VISTA,2026,1,0.7,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
SANTA CRUZ,PUERTO QUIJARRO,2026,2,1.1,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
TARIJA,BERMEJO,2026,3,0.8,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
TARIJA,CERCADO TJ,2026,3,0.1,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
TARIJA,YACUIBA,2026,5,0.5,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
TARIJA,VILLA MONTES,2026,1,0.2,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
TARIJA,CARAPARI,2026,1,0.6,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
CHUQUISACA,MACHARETI,2026,1,1.4,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
PANDO,COBIJA,2026,1,0.2,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.
